SCORE:,total_score,coordinate_constraint,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,res_type_constraint,rmsd,stability_pure,stability_score_full,stability_without_pssm,timer,yhh_planarity,description
SCORE:,-1244.615,10.133,0,-2721.001,482.757,-780.052,4.92,89.035,393.37,1626.419,-108.046,-92.023,-67.992,-199.192,-67.252,49.408,-89.211,1.004,48.464,174.493,0.153,lowest_energy_0200_0001,,,,,,
SCORE:,-1244.56,10.354,0,-2726.547,484.101,-781.494,4.926,89.224,392.295,1630.375,-108.176,-92.352,-68.07,-199.501,-67.446,49.864,-87.504,1.1,50.913,173.224,0.154,lowest_energy_0118_0001,,,,,,
SCORE:,-1244.536,10.44,0,-2728.312,487.471,-780.641,4.932,89.839,393.583,1635.193,-108.203,-91.855,-68.068,-199.318,-68.14,49.467,-89.456,1.01,48.204,169.163,0.153,lowest_energy_1010_0001,,,,,,
SCORE:,-1244.519,10.029,0,-2726.317,488.272,-782.85,4.939,90.172,392.465,1637.315,-108.174,-92.073,-68.72,-199.407,-68.239,49.383,-89.763,1.02,47.671,169.603,0.153,lowest_energy_1117_0001,,,,,,
SCORE:,-1244.51,10.086,0,-2726.375,488.058,-781.79,4.936,89.547,393.487,1635.467,-108.153,-91.963,-70.302,-199.172,-67.196,49.403,-89.645,1.005,47.728,170.214,0.153,lowest_energy_1003_0001,,,,,,
SCORE:,-1244.51,11.275,0,-2729.77,486.608,-780.412,4.954,89.342,396.101,1628.397,-108.459,-92.33,-68.068,-199.291,-68.181,49.023,-89.525,1.058,49.356,175.256,0.155,lowest_energy_1906_0001,,,,,,
SCORE:,-1244.499,10.615,0,-2731.165,484.392,-780.531,4.94,89.28,394.723,1631.171,-107.977,-91.902,-67.973,-199.252,-66.976,49.606,-89.122,1.021,49.595,174.903,0.153,lowest_energy_1902_0001,,,,,,
SCORE:,-1244.448,10.173,0,-2726.587,485.355,-780.003,4.938,89.679,393.289,1629.857,-108.263,-92.316,-67.915,-199.349,-67.552,49.327,-89.606,1.012,48.356,175.004,0.153,lowest_energy_0717_0001,,,,,,
SCORE:,-1244.418,10.178,0,-2732.527,490.447,-782.377,4.946,90.194,393.767,1639.322,-108.056,-92.201,-68.226,-199.134,-68.126,49.58,-89.557,1.044,47.75,168.404,0.153,lowest_energy_1314_0001,,,,,,
SCORE:,-1244.323,10.702,0,-2722.452,483.455,-781.035,4.93,89.103,397.068,1625.379,-108.288,-91.728,-67.847,-199.661,-66.969,49.759,-89.572,1.071,47.414,174.197,0.153,lowest_energy_0503_0001,,,,,,
SCORE:,-1244.318,10.739,0,-2732.129,489.561,-781.695,4.939,89.81,396.12,1633.615,-110.252,-92.263,-68.011,-199.519,-66.818,48.93,-89.355,1.109,48.094,172.654,0.154,lowest_energy_1219_0001,,,,,,
SCORE:,-1244.235,10.954,0,-2725.023,483.321,-780.411,4.9,89.324,395.057,1630.341,-108.803,-91.748,-68.126,-199.639,-68.757,48.684,-90.346,1.122,54.654,170.106,0.155,lowest_energy_1704_0001,,,,,,
SCORE:,-1244.159,10.131,0,-2721.264,483.585,-781.623,4.932,89.165,393.077,1630.398,-108.221,-92.014,-68.002,-199.481,-67.508,49.278,-88.931,1.043,48.42,172.706,0.153,lowest_energy_0306_0001,,,,,,
SCORE:,-1244.139,10.728,0,-2733.663,489.506,-780.726,5.007,89.654,398.488,1628.486,-107.829,-92.059,-67.857,-199.234,-67.096,49.253,-89.253,1.026,48.073,173.204,0.153,lowest_energy_0816_0001,,,,,,
SCORE:,-1244.055,10.287,0,-2723.772,484.141,-781.329,4.922,89.352,394.69,1630.291,-107.746,-91.927,-67.99,-199.198,-67.055,49.49,-89.089,1.013,48.69,171.023,0.153,lowest_energy_0211_0001,,,,,,
SCORE:,-1244.055,10.101,0,-2726.4,485.8,-781.313,4.926,89.45,392.772,1633.603,-108.153,-91.969,-68.023,-199.171,-67.602,49.346,-89.239,1.005,48.319,172.341,0.153,lowest_energy_1602_0001,,,,,,
SCORE:,-1244.01,10.262,0,-2730.21,487.95,-780.255,4.949,89.462,394.257,1632.475,-108.097,-92.032,-69.51,-199.314,-67.198,49.609,-88.825,1.077,48.544,172.695,0.153,lowest_energy_0616_0001,,,,,,
SCORE:,-1243.909,10.386,0,-2732.735,489.274,-780.451,4.958,90.216,394.259,1636.754,-108.21,-92.254,-68.172,-199.228,-67.124,49.546,-89.471,1.043,48.207,168.942,0.153,lowest_energy_1212_0001,,,,,,
